id_ies,nome,tipo_instituicao,rede,situacao_funcionamento,id_municipio,sigla_uf
292,FACULDADE DE CIENCIAS DA SAUDE DE JOINVILLE,Privada,Privada,Ativa,4209102,SC
293,FACULDADE DE CIENCIAS E TECNOLOGIA DE JOINVILLE,Privada,Privada,Ativa,4209102,SC
294,FACULDADE TRES DE MAIO,Privada,Privada,Ativa,4321808,RS
295,UNIVERSIDADE DE SANTA CRUZ DO SUL,Privada,Privada,Ativa,4316808,RS
296,UNIVERSIDADE DA REGIAO DA CAMPANHA,Privada,Privada,Ativa,4301602,RS
297,FACULDADE DE CIENCIAS CONTABEIS E ADMINISTRATIVAS SAO JUDAS TADEU,Privada,Privada,Ativa,4314902,RS
298,UNIVERSIDADE NORTE DO PARANA,Privada,Privada,Ativa,4113700,PR
299,FACULDADE DE JANDAIA DO SUL,Privada,Privada,Ativa,4112108,PR
300,"FACULDADE DE FILOSOFIA, CIENCIAS E LETRAS DE FORMIGA",Privada,Privada,Ativa,3126109,MG
301,ESCOLA DE BIBLIOTECONOMIA,Privada,Privada,Ativa,3126109,MG
302,"FACULDADE DE CIENCIAS ECONOMICAS, ADMINISTRATIVAS E CONTABEIS DE DIVINOPOLIS",Privada,Privada,Ativa,3122306,MG
303,"FACULDADE DE FILOSOFIA, CIENCIAS E LETRAS DE CATAGUASES",Privada,Privada,Ativa,3115300,MG
304,FACULDADE DE CIENCIAS CONTABEIS DE CARATINGA,Privada,Privada,Inativa,3113404,MG
307,FACULDADE DE MEDICINA DE BARBACENA,Privada,Privada,Ativa,3105608,MG
308,UNIVERSIDADE PRESIDENTE ANTONIO CARLOS,Privada,Privada,Ativa,3105608,MG
316,UNIVERSIDADE NOVE DE JULHO,Privada,Privada,Ativa,3550308,SP
317,FACULDADES INTEGRADAS ALCANTARA MACHADO,Privada,Privada,Ativa,3550308,SP
318,FACULDADE DE ARTES ALCANTARA MACHADO,Privada,Privada,Ativa,3550308,SP
319,UNIVERSIDADE CAMILO CASTELO BRANCO,Privada,Privada,Ativa,3550308,SP
320,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE TATUI,Privada,Privada,Ativa,3554003,SP
321,FACULDADE DE DESENHO DE TATUI,Privada,Privada,Ativa,3554003,SP
322,UNIVERSIDADE PAULISTA,Privada,Privada,Ativa,3550308,SP
328,FACULDADE DE CIENCIAS JURIDICAS E SOCIAIS VIANNA JUNIOR,Privada,Privada,Ativa,3136702,MG
329,ESCOLA SUPERIOR DE AGRONOMIA DE PARAGUACU PAULISTA,Privada,Privada,Ativa,3535507,SP
330,UNIVERSIDADE IGUACU,Privada,Privada,Ativa,3303500,RJ
332,ESCOLA DE ENGENHARIA DE LINS,Privada,Privada,Ativa,3527108,SP
333,FACULDADE DE INFORMATICA DE LINS,Privada,Privada,Ativa,3527108,SP
334,FACULDADE DE SERVICO SOCIAL DE LINS,Privada,Privada,Ativa,3527108,SP
335,FACULDADE DE EDUCACAO E CIENCIAS PINHEIRENSE,Privada,Privada,Inativa,3550308,SP
336,FACULDADE MACHADO SOBRINHO,Privada,Privada,Ativa,3136702,MG
337,CENTRO DE ENSINO SUPERIOR DE JUIZ DE FORA,Privada,Privada,Ativa,3136702,MG
338,PONTIFICIA UNIVERSIDADE CATOLICA DE MINAS GERAIS,Privada,Privada,Ativa,3106200,MG
339,FACULDADE SANTA EMILIA DE RODAT,Privada,Privada,Ativa,2507507,PB
343,CENTRO UNIVERSITARIO NEWTON PAIVA,Privada,Privada,Ativa,3106200,MG
344,CENTRO UNIVERSITARIO UNA,Privada,Privada,Ativa,3106200,MG
